1,Cloud mixing ratio [kg/kg],1[-] HYBL="Hybrid level"
2,Ice water mixing ratio [kg/kg],1[-] HYBL="Hybrid level"
3,Rain mixing ratio [kg/kg],1[-] HYBL="Hybrid level"
4,Snow mixing ratio [kg/kg],1[-] HYBL="Hybrid level"
5,Graupel (snow pellets) [kg/kg],1[-] HYBL="Hybrid level"
6,Maximum / Composite radar reflectivity [dB],0[-] RESERVED(10) (Reserved)
7,Visibility [m],0[-] SFC="Ground or water surface"
8,u-component of wind [m/s],0[-] RESERVED(220) (Reserved Local use)
9,v-component of wind [m/s],0[-] RESERVED(220) (Reserved Local use)
10,|(prodType 0, cat 2, subcat 224) [-]|,0[-] RESERVED(220) (Reserved Local use)
11,Wind speed (gust) [m/s],0[-] SFC="Ground or water surface"
12,Geopotential height [gpm],40[Pa] ISBL="Isobaric surface"
13,Temperature [C],40[Pa] ISBL="Isobaric surface"
14,Absolute vorticity [1/s],40[Pa] ISBL="Isobaric surface"
15,Ozone Mixing Ratio [kg/kg],40[Pa] ISBL="Isobaric surface"
16,Geopotential height [gpm],100[Pa] ISBL="Isobaric surface"
17,Temperature [C],100[Pa] ISBL="Isobaric surface"
18,Relative humidity [%],100[Pa] ISBL="Isobaric surface"
19,u-component of wind [m/s],100[Pa] ISBL="Isobaric surface"
20,v-component of wind [m/s],100[Pa] ISBL="Isobaric surface"
21,Ozone Mixing Ratio [kg/kg],100[Pa] ISBL="Isobaric surface"
22,Geopotential height [gpm],200[Pa] ISBL="Isobaric surface"
23,Temperature [C],200[Pa] ISBL="Isobaric surface"
24,Relative humidity [%],200[Pa] ISBL="Isobaric surface"
25,u-component of wind [m/s],200[Pa] ISBL="Isobaric surface"
26,v-component of wind [m/s],200[Pa] ISBL="Isobaric surface"
27,Ozone Mixing Ratio [kg/kg],200[Pa] ISBL="Isobaric surface"
28,Geopotential height [gpm],300[Pa] ISBL="Isobaric surface"
29,Temperature [C],300[Pa] ISBL="Isobaric surface"
30,Relative humidity [%],300[Pa] ISBL="Isobaric surface"
31,u-component of wind [m/s],300[Pa] ISBL="Isobaric surface"
32,v-component of wind [m/s],300[Pa] ISBL="Isobaric surface"
33,Ozone Mixing Ratio [kg/kg],300[Pa] ISBL="Isobaric surface"
34,Geopotential height [gpm],500[Pa] ISBL="Isobaric surface"
35,Temperature [C],500[Pa] ISBL="Isobaric surface"
36,Relative humidity [%],500[Pa] ISBL="Isobaric surface"
37,u-component of wind [m/s],500[Pa] ISBL="Isobaric surface"
38,v-component of wind [m/s],500[Pa] ISBL="Isobaric surface"
39,Ozone Mixing Ratio [kg/kg],500[Pa] ISBL="Isobaric surface"
40,Geopotential height [gpm],700[Pa] ISBL="Isobaric surface"
41,Temperature [C],700[Pa] ISBL="Isobaric surface"
42,Relative humidity [%],700[Pa] ISBL="Isobaric surface"
43,u-component of wind [m/s],700[Pa] ISBL="Isobaric surface"
44,v-component of wind [m/s],700[Pa] ISBL="Isobaric surface"
45,Ozone Mixing Ratio [kg/kg],700[Pa] ISBL="Isobaric surface"
46,Geopotential height [gpm],1000[Pa] ISBL="Isobaric surface"
47,Temperature [C],1000[Pa] ISBL="Isobaric surface"
48,Relative humidity [%],1000[Pa] ISBL="Isobaric surface"
49,u-component of wind [m/s],1000[Pa] ISBL="Isobaric surface"
50,v-component of wind [m/s],1000[Pa] ISBL="Isobaric surface"
51,Absolute vorticity [1/s],1000[Pa] ISBL="Isobaric surface"
52,Ozone Mixing Ratio [kg/kg],1000[Pa] ISBL="Isobaric surface"
53,Geopotential height [gpm],1500[Pa] ISBL="Isobaric surface"
54,Temperature [C],1500[Pa] ISBL="Isobaric surface"
55,Absolute vorticity [1/s],1500[Pa] ISBL="Isobaric surface"
56,Ozone Mixing Ratio [kg/kg],1500[Pa] ISBL="Isobaric surface"
